Date,Time,Temperature,Humidity
01/07/22,13:56,22.8*C,43.8%
01/07/22,13:57,22.7*C,43.7%
01/07/22,13:58,22.7*C,43.8%
01/07/22,13:59,22.7*C,43.8%
01/07/22,14:00,22.8*C,43.9%
01/07/22,14:01,22.8*C,43.8%
01/07/22,14:02,22.8*C,43.9%
01/07/22,14:03,22.8*C,43.9%
01/07/22,14:04,22.8*C,43.9%
01/07/22,14:05,22.8*C,43.8%
01/07/22,14:06,22.7*C,43.7%
01/07/22,14:07,22.8*C,43.8%
01/07/22,14:08,22.7*C,43.9%
01/07/22,14:09,22.7*C,44.1%
01/07/22,14:10,22.7*C,44.1%
01/07/22,14:11,22.7*C,44.2%
01/07/22,14:12,22.7*C,44.2%
01/07/22,14:13,22.6*C,44.1%
01/07/22,14:14,22.7*C,44.2%
01/07/22,14:15,22.7*C,44.3%
01/07/22,14:16,22.7*C,44.4%
01/07/22,14:17,22.6*C,44.3%
01/07/22,14:18,22.6*C,44.3%
01/07/22,14:19,22.6*C,44.2%
01/07/22,14:20,22.6*C,44.3%
01/07/22,14:21,22.6*C,44.3%
01/07/22,14:22,22.6*C,44.2%
01/07/22,14:23,22.6*C,44.3%
01/07/22,14:24,22.6*C,44.1%
01/07/22,14:25,22.6*C,44.3%
01/07/22,14:26,22.6*C,44.3%
01/07/22,14:27,22.6*C,44.2%
01/07/22,14:28,22.6*C,44.3%
01/07/22,14:30,22.6*C,44.2%
01/07/22,14:31,22.5*C,44.1%
01/07/22,14:32,22.6*C,44.1%
01/07/22,14:33,22.6*C,44.2%
01/07/22,14:34,22.6*C,44.1%
01/07/22,14:35,22.6*C,44.1%
01/07/22,14:36,22.5*C,44.1%
01/07/22,14:37,22.6*C,44.3%
01/07/22,14:38,22.5*C,44.2%
01/07/22,14:39,22.5*C,44.2%
01/07/22,14:40,22.5*C,44.3%
01/07/22,14:41,22.5*C,44.2%
01/07/22,14:47,22.6*C,44.0%
01/07/22,14:48,22.6*C,44.0%
01/07/22,14:49,22.6*C,43.9%
01/07/22,14:50,22.6*C,43.9%
01/07/22,14:51,22.6*C,43.9%
01/07/22,14:52,22.6*C,43.9%
01/07/22,14:53,22.5*C,44.0%
01/07/22,14:54,22.4*C,44.2%
01/07/22,14:55,22.4*C,44.2%
01/07/22,14:56,22.4*C,44.2%
01/07/22,14:57,22.5*C,44.3%
01/07/22,14:58,22.5*C,44.3%
01/07/22,14:59,22.5*C,44.0%
01/07/22,15:00,22.5*C,44.1%
01/07/22,15:01,22.5*C,43.8%
01/07/22,15:02,22.5*C,43.6%
01/07/22,15:03,22.5*C,43.8%
01/07/22,15:05,22.5*C,43.8%
01/07/22,15:06,22.5*C,43.9%
01/07/22,15:07,22.5*C,43.9%
01/07/22,15:08,22.5*C,43.6%
01/07/22,15:09,22.5*C,43.7%
01/07/22,15:10,22.4*C,43.7%
01/07/22,15:11,22.4*C,43.7%
01/07/22,15:12,22.4*C,43.7%
01/07/22,15:13,22.4*C,43.7%
01/07/22,15:14,22.5*C,43.6%
01/07/22,15:15,22.4*C,43.6%
01/07/22,15:16,22.4*C,43.5%
01/07/22,15:16,22.5*C,43.8%
01/07/22,15:18,22.5*C,43.8%
01/07/22,15:18,22.4*C,43.6%
01/07/22,15:18,22.5*C,43.8%
01/07/22,15:19,22.5*C,43.9%
01/07/22,15:20,22.4*C,43.7%
01/07/22,15:21,22.4*C,43.7%
01/07/22,15:22,22.5*C,43.6%
01/07/22,15:23,22.4*C,43.6%
01/07/22,15:24,22.5*C,43.6%
01/07/22,15:25,22.5*C,43.6%
01/07/22,15:26,22.5*C,43.6%
01/07/22,15:27,22.5*C,43.5%
01/07/22,15:28,22.5*C,43.5%
01/07/22,15:29,22.5*C,43.4%
01/07/22,15:31,22.5*C,43.4%
01/07/22,15:32,22.5*C,43.4%
01/07/22,15:33,22.5*C,43.3%
01/07/22,15:34,22.5*C,44.0%
01/07/22,15:35,22.4*C,44.1%
01/07/22,15:36,22.5*C,43.2%
01/07/22,15:37,22.5*C,43.3%
01/07/22,15:38,22.5*C,43.4%
01/07/22,15:39,22.4*C,43.4%
01/07/22,15:40,22.4*C,43.6%
01/07/22,15:41,22.3*C,42.1%
01/07/22,15:42,22.3*C,42.0%
01/07/22,15:43,22.3*C,43.2%
01/07/22,15:44,22.3*C,43.6%
01/07/22,15:45,22.2*C,43.5%
01/07/22,15:46,22.3*C,43.6%
01/07/22,15:47,22.2*C,43.7%
01/07/22,15:48,22.2*C,43.7%
